X,Y,XK_NAME,
20.2434007357154,42.5623945543801,Deçan
20.3612940575193,42.4055034698099,Gjakovë
21.585032792541,42.4034350528222,Gjilan
20.8723189586533,42.61680032727,Drenas
20.4916355497516,42.785632823741,Istog
20.6779653106882,42.0044138008567,Dragash
20.6082499717484,42.6153824046643,Klinë
21.2555538424316,42.2434155566345,Kaçanik
21.5734168881995,42.4867050079724,Enclave-Kamenicë
21.6478841200095,42.6186261850512,Kamenicë
21.0393195618753,42.6182111820385,Fushë Kosovë
20.8112414789355,43.1285232642313,Leposaviq
20.9351264879401,42.9434500128388,Mitrovicë
21.0788359303767,42.7268516440847,Obiliq
21.4198755758278,42.554408948382,Novobërdë
21.0208501837401,42.5347009946605,Lipjan
20.2256226472019,42.6888623914802,Pejë
20.6159138656812,42.4100963614201,Rahovec
20.6941423833912,42.2114315077315,Prizren
21.2321235174264,42.5853613469816,Enclave-Prishtine
21.2708186075504,42.6996260405153,Prishtinë
21.158630314886,42.9482739877642,Podujevë
21.0036824541503,42.235782536293,Shtërpcë
21.0299930293365,42.4337577487248,Shtime
20.7882571228414,42.7329064618193,Skënderaj
21.3645149816348,42.3386030190228,Viti
21.1436185937375,42.3760653294154,Ferizaj
20.8498703887949,42.3637654006466,Suharekë
20.7843513338577,42.9760238087987,Zveçan
20.6405016304456,42.9218291621584,Zubin Potok
20.9814721778087,42.8161387365004,Vushtrri
20.7338043990658,42.325372784122,Mamushë
20.2014138074171,42.5096387673498,Junik
20.7145118347294,42.5024646741072,Malishevë
21.6091733807436,42.5092023523428,Ranillug
21.165231849897,42.5769928902639,Graçanicë
21.2586432539847,42.153307800843,Hani i Elezit
21.3916325116672,42.3467182050404,Kllokot
21.4780563289786,42.4039627686323,Partesh
20.8319292035922,42.897088640129,Mitrovicë e Veriut
